trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,FALSE,"{'a': 0.5, 'e': 0.95}",25,0,-82.95912097,"{0: 15, 1: 0, 2: 10, 3: 0, 4: 0}",0
2,FALSE,"{'a': 0.5, 'e': 0.8999999999999999}",35,0,-164.6634408,"{0: 21, 1: 4, 2: 7, 3: 1, 4: 2}",0
3,FALSE,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-149.9736702,"{0: 15, 1: 2, 2: 5, 3: 1, 4: 2}",0
4,FALSE,"{'a': 0.5, 'e': 0.7999999999999998}",20,7,-107.4570701,"{0: 7, 1: 0, 2: 2, 3: 3, 4: 1}",1
5,FALSE,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-102.2910512,"{0: 13, 1: 3, 2: 2, 3: 0, 4: 2}",0
6,FALSE,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-166.5707071,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
7,FALSE,"{'a': 0.5, 'e': 0.6499999999999997}",20,0,-130.2456136,"{0: 14, 1: 1, 2: 2, 3: 0, 4: 3}",0
8,FALSE,"{'a': 0.5, 'e': 0.5999999999999996}",30,0,-216.374732,"{0: 20, 1: 2, 2: 1, 3: 3, 4: 4}",0
9,FALSE,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-109.0902112,"{0: 18, 1: 1, 2: 4, 3: 0, 4: 2}",0
10,FALSE,"{'a': 0.5, 'e': 0.4999999999999996}",20,8,-4.588263489,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
11,FALSE,"{'a': 0.5, 'e': 0.4499999999999996}",30,12,-35.94101438,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 1}",1
12,FALSE,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-73.10510261,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
13,FALSE,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-108.1374953,"{0: 17, 1: 3, 2: 2, 3: 1, 4: 2}",0
14,FALSE,"{'a': 0.5, 'e': 0.29999999999999966}",30,23,12.29506533,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,FALSE,"{'a': 0.5, 'e': 0.24999999999999967}",30,16,-43.61701547,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
16,FALSE,"{'a': 0.5, 'e': 0.19999999999999968}",20,15,8.50929912,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
17,FALSE,"{'a': 0.5, 'e': 0.1499999999999997}",25,6,16.06537067,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
18,FALSE,"{'a': 0.5, 'e': 0.09999999999999969}",20,13,2.644954868,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
19,FALSE,"{'a': 0.5, 'e': 0.049999999999999684}",25,15,21.13968266,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,FALSE,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,-9.117039036,"{0: 23, 1: 0, 2: 0, 3: 2, 4: 0}",0
1,TRUE,"{'a': 0, 'e': 0}",20,15,6.927558841,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,TRUE,"{'a': 0, 'e': 0}",30,8,27.37777889,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,TRUE,"{'a': 0, 'e': 0}",20,9,10.82296864,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
4,TRUE,"{'a': 0, 'e': 0}",25,20,5.518309905,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,TRUE,"{'a': 0, 'e': 0}",20,8,21.26545904,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,TRUE,"{'a': 0, 'e': 0}",25,16,11.80669076,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,TRUE,"{'a': 0, 'e': 0}",25,13,-59.18798584,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 2}",1
8,TRUE,"{'a': 0, 'e': 0}",25,7,31.10610476,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
9,TRUE,"{'a': 0, 'e': 0}",30,13,27.04639608,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,TRUE,"{'a': 0, 'e': 0}",20,13,16.02201966,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
